# gal, OII3727, OII3727_err, OIII4363, OIII4363_err, OIII5007, OIII5007_err, SII6717, SII6717_err, SII6731, SII6731_err
J1044+0353 26.4 0.3 13.51 0.21 427.5 4.3 2.50 0.04 2.04 0.05 #Berg+2021
J1253-0312 79.0 2.8 9.70  0.50 647.0 26  6.30 0.40 7.90 0.50 #Esteban+2014
J1323-0132 18.8 1.4 20.15 0.38 728.6 6.2 1.75 0.33 1.55 0.33 #Arellano-Cordova+2022
J1418+2102 49.3 0.5 13.80 0.23 500.7 5.0 4.04 0.13 2.99 0.06 #Berg+2021
J1545+0858 19.6 2.3 12.87 0.27 571.4 4.8 5.65 0.26 4.41 0.26 #Arellano-Cordova+2022
